Date,Day,Month,CO,NO2,O3,PM25,Season,Season_Code,AQHI_PreviousDay,AQHI,AQHI_NextDay
2023-11-05,5,11,0.175,5.833333333333333,21.666666666666668,5.291666666666667,Fall,3,2.2292753554045883,1.8642189124986281,2.1411654061973517
2023-11-06,6,11,0.175,12.166666666666666,17.208333333333332,4.75,Fall,3,1.8642189124986281,2.1411654061973517,1.8390304652230252
2023-11-07,7,11,0.175,4.0,23.583333333333336,5.916666666666667,Fall,3,2.1411654061973517,1.8390304652230252,1.9850246215462675
2023-11-08,8,11,0.175,7.083333333333334,23.625,3.4166666666666665,Fall,3,1.8390304652230252,1.9850246215462675,2.1601281830743884
2023-11-09,9,11,0.175,13.833333333333332,12.875,6.958333333333334,Fall,3,1.9850246215462675,2.1601281830743884,1.5256047755950426
2023-11-10,10,11,0.175,3.2916666666666665,21.5,2.8333333333333335,Fall,3,2.1601281830743884,1.5256047755950426,1.8975264110766643
2023-11-11,11,11,0.175,2.9583333333333335,29.625,2.2916666666666665,Fall,3,1.5256047755950426,1.8975264110766643,2.2693349485715197
2023-11-12,12,11,0.175,9.291666666666668,25.416666666666668,3.4166666666666665,Fall,3,1.8975264110766643,2.2693349485715197,2.8615002600718995
2023-11-13,13,11,0.175,18.0,10.291666666666668,9.041666666666666,Fall,3,2.2693349485715197,2.8615002600718995,1.6925012017191627
2023-11-17,17,11,0.175,8.875,30.083333333333332,8.875,Fall,3,3.1664860887550397,2.7299145311488635,1.763756435710175
2023-11-18,18,11,0.175,4.875,23.875,2.4166666666666665,Fall,3,2.7299145311488635,1.763756435710175,1.7125941168867351
2023-11-19,19,11,0.175,2.666666666666667,26.041666666666668,2.875,Fall,3,1.763756435710175,1.7125941168867351,2.151335276014946
2023-11-20,20,11,0.175,9.125,23.5,3.375,Fall,3,1.7125941168867351,2.151335276014946,2.4150332893425457
2023-11-21,21,11,0.175,16.208333333333332,14.375,6.375,Fall,3,2.151335276014946,2.4150332893425457,2.0861789184046087
2023-11-22,22,11,0.175,10.75,17.25,6.083333333333333,Fall,3,2.4150332893425457,2.0861789184046087,1.712602698134595
2023-11-23,23,11,0.175,5.75,18.833333333333332,5.375,Fall,3,2.0861789184046087,1.712602698134595,1.961687657681036
2023-11-24,24,11,0.175,2.0833333333333335,32.208333333333336,2.3333333333333335,Fall,3,1.712602698134595,1.961687657681036,2.391682053131645
2023-11-25,25,11,0.175,8.875,28.125,3.875,Fall,3,1.961687657681036,2.391682053131645,2.281798504745205
2023-11-26,26,11,0.175,6.791666666666667,28.041666666666668,5.375,Fall,3,2.391682053131645,2.281798504745205,1.9570188938574538
2023-11-27,27,11,0.175,5.958333333333333,25.416666666666668,2.875,Fall,3,2.281798504745205,1.9570188938574538,1.827471929033532
2023-11-28,28,11,0.175,2.5416666666666665,28.958333333333332,2.2916666666666665,Fall,3,1.9570188938574538,1.827471929033532,2.1616487686900636
2023-11-29,29,11,0.175,6.0625,28.6875,3.395833333333333,Fall,3,1.827471929033532,2.1616487686900636,2.5428089472189686
2023-11-30,30,11,0.175,9.291666666666666,24.5,10.375,Fall,3,2.1616487686900636,2.5428089472189686,2.820945936926776
2023-12-01,1,12,0.175,14.958333333333334,18.083333333333332,13.208333333333334,Winter,0,2.5428089472189686,2.820945936926776,1.8535752863686614
2023-12-02,2,12,0.175,6.916666666666667,16.875,8.458333333333334,Winter,0,2.820945936926776,1.8535752863686614,1.8556076512717603
2023-12-03,3,12,0.175,6.916666666666667,19.583333333333332,5.5,Winter,0,1.8535752863686614,1.8556076512717603,2.1247154785493807
2023-12-04,4,12,0.175,8.708333333333334,23.291666666666668,3.875,Winter,0,1.8556076512717603,2.1247154785493807,2.5493825327286017
2023-12-05,5,12,0.175,14.958333333333334,20.083333333333332,5.208333333333333,Winter,0,2.1247154785493807,2.5493825327286017,2.714628275244566
2023-12-06,6,12,0.175,16.916666666666664,19.166666666666664,6.208333333333333,Winter,0,2.5493825327286017,2.714628275244566,3.0300417864278497
